Model,Ticker,Year,Order,N_Obs,MAE,RMSE,MAPE,Directional_Accuracy,Window
ARIMA,NVDA,2025,"(1, 1, 1)",69.0,9.543047734453369,12.272614375839714,5.029707987390887,0.47058823529411764,
ANN,NVDA,2025,,,6.53809683663505,8.220288513130171,3.5996557785117638,0.4838709677419355,20.0
LSTM,NVDA,2025,,,5.950624011811763,7.4355162472954435,3.2058105270354007,0.4838709677419355,20.0
