Date,rolling_return,rolling_vol,ma_dist,cluster
2025-03-17,-0.006507199854660278,0.017814514390466496,-0.08575531520542745,0
2025-03-18,-0.006786693852965981,0.01775959205631812,-0.08894700035774727,0
2025-03-19,-0.006269040812265541,0.01816429347855739,-0.07581899754707744,0
2025-03-20,-0.006729881407788874,0.018008421367435745,-0.07828926825665827,0
2025-03-21,-0.005699089006849173,0.018912603025846304,-0.058417996979811204,0
2025-03-24,-0.00545118997164144,0.019109796745944402,-0.04601969271600337,0
2025-03-25,-0.0047549520241707555,0.019557952399034156,-0.03189293643883395,0
2025-03-26,-0.003899035068986423,0.01889468331201921,-0.04045100683614933,0
2025-03-27,-0.0027388523756133485,0.019035696652007505,-0.029630736590466333,0
2025-03-28,-0.005024466317565907,0.01901579398220463,-0.05380677856825211,0
2025-03-31,-0.003266125915097451,0.019588686339530266,-0.034945948792068915,0
2025-04-01,-0.0025864061730426213,0.019621569301839725,-0.02978963769651255,0
2025-04-02,-0.00238932377759189,0.01966015797769227,-0.026873161316191885,0
2025-04-03,-0.006925176311345815,0.02813880130692282,-0.11527626921373002,2
2025-04-04,-0.011364170645163046,0.031187307514038087,-0.1772512910917713,2
2025-04-07,-0.010776905006015237,0.03055582027781598,-0.20462061911335994,2
2025-04-08,-0.011808345533780813,0.03154231080189685,-0.24043704822870826,2
2025-04-09,-0.0032699790345776247,0.04848776585469058,-0.12097275838873545,2
2025-04-10,-0.0037074871614187544,0.048814629111454025,-0.15459985284964006,2
2025-04-11,-0.002586292994025452,0.04959486643404728,-0.11721018997393184,2
2025-04-14,-0.0016030323386804323,0.04989273934623275,-0.09506241149744132,2
2025-04-15,-0.0013907856177637567,0.0498815342102869,-0.09468770951026761,2
2025-04-16,-0.003936913186499008,0.05045891915533187,-0.12694142275297693,2
2025-04-17,-0.0029746159782207517,0.050614907398803526,-0.11195018753576946,2
2025-04-21,-0.004918097206295535,0.05045344682109538,-0.12603532594630473,2
2025-04-22,-0.0037783615369707093,0.051091814828850855,-0.09399757769163253,2
2025-04-23,-0.003245878493089438,0.05133826629245687,-0.07000843849296812,2
2025-04-24,-0.001828478641345116,0.05153520295711494,-0.05077963207612568,2
2025-04-25,-0.0021337557263152508,0.051476549771368854,-0.04423168890613349,2
2025-04-28,-0.0005992684623126355,0.05116593881836047,-0.03754463991639012,2
2025-04-29,-0.0013153049212092315,0.050970978570459735,-0.029676133470615706,2
2025-04-30,-0.001248520437263173,0.05098024834551102,-0.02087357969909609,2
2025-05-01,-0.0012123945725224182,0.050983774986726245,-0.014229203207318686,2
2025-05-02,0.0015423250335431572,0.047137615919626945,-0.047495818761066566,2
2025-05-05,0.00361377044786243,0.044533015239172455,-0.07344944076687399,2
2025-05-06,0.00535495014323723,0.043542187136938346,-0.07101405775429948,2
2025-05-07,0.007276620923503568,0.04179196983801702,-0.07720361945719467,2
2025-05-08,-7.188451390622297e-05,0.02382636140388246,-0.06761390793417354,0
2025-05-09,0.0023111121622820087,0.0216551749455742,-0.059260027068508636,0
2025-05-12,0.003438699215966451,0.02419205052043391,0.0030695333076435904,1
2025-05-13,0.002843609480062398,0.023854061498951154,0.01564903004096907,1
2025-05-14,0.0027965404376007917,0.023864791706490855,0.015042431707702253,1
2025-05-15,0.0045359859145178314,0.021845529959413787,0.013158650515496806,1
2025-05-16,0.003793575236934882,0.02176091462443923,0.01455848284838801,1
2025-05-19,0.004176260249165958,0.021395938730412498,0.005543670909185616,1
2025-05-20,0.0020131949771152067,0.02037780359473511,-0.0017494254993248859,1
2025-05-21,-0.00035634199674411946,0.020401316343370668,-0.02302753028629345,0
2025-05-22,-0.0014582663228564162,0.01992299949770957,-0.025111078094134265,0
2025-05-23,-0.0031888364826604234,0.020871019207774247,-0.05330004356486795,0
2025-05-27,-0.002129390651493551,0.02177902394644397,-0.028125083254123218,0
2025-05-28,-0.0023315420017638033,0.0217271707243524,-0.025847896187953023,0
2025-05-29,-0.002754177029472443,0.02163639352929578,-0.026953599714822918,0
2025-05-30,-0.0027220621671333934,0.02164719985989726,-0.02122978131668818,0
2025-06-02,-0.0006423743534177794,0.020085829120518806,-0.01592525272378975,0
2025-06-03,0.0013197375280771585,0.018792137174821498,-0.006839441711474437,0
2025-06-04,0.0013045867333781268,0.018795000658066656,-0.00732874616015966,0
2025-06-05,0.001333938797893175,0.018774588059250412,-0.015848293499405752,0
2025-06-06,0.0018379257732493604,0.01904872577443889,0.0019926290105172217,1
2025-06-09,0.000968995383043142,0.019279096075168756,-0.007988884780536498,0
2025-06-10,-0.001885514853460063,0.012688354675664476,-0.0005101409844174842,0
2025-06-11,-0.0033528142590748267,0.012917755291043054,-0.01745941986314581,0
2025-06-12,-0.0031062795191873884,0.012975425153055033,-0.013071378822937962,0
2025-06-13,-0.0035893164699183798,0.013194085542650981,-0.024070915746971067,0
2025-06-16,-0.003042986302273265,0.013533226759443424,-0.013842981968423596,0
2025-06-17,-0.0031565680406978767,0.013619311781640797,-0.028384761992944818,0
2025-06-18,-0.002456521072812079,0.013652319212473554,-0.025203410250007052,0
2025-06-20,-0.00017933738261794452,0.013832088089250984,-0.00612490856561021,0
2025-06-23,0.00012565743277727083,0.013819653800608104,-0.003939204209483682,0
2025-06-24,0.0013401011099832883,0.011951273752739319,-0.010861642549829575,0
2025-06-25,0.0003897172039793173,0.010628352203359333,-0.005000004649785228,0
2025-06-26,0.0001983547012361364,0.01065029197597251,-0.007641574932866213,0
2025-06-27,0.0003355086984772271,0.010633463438919142,-0.007168632931945029,0
