Date,rolling_return,rolling_vol,ma_dist,cluster
2025-03-17,-0.006584071773169048,0.04253682330213483,-0.07334048234727097,2
2025-03-18,-0.008497179432267198,0.042896494198761154,-0.1019417252677094,2
2025-03-19,-0.007530891590503003,0.043284965950339635,-0.08183287475122136,2
2025-03-20,-0.0074172008864756556,0.04332622871703926,-0.06945087713459186,2
2025-03-21,-0.005740340939166239,0.04262005865355178,-0.0727016141523229,2
2025-03-24,-0.002620748899978237,0.04296579587954322,-0.040647511900304245,2
2025-03-25,-0.0015164319344531441,0.04256063374111565,-0.04403929898295156,2
2025-03-26,-0.006223488351723855,0.04330837173053026,-0.09614436360429701,2
2025-03-27,-0.003008538311584913,0.039378079648724106,-0.11178915804231815,2
2025-03-28,-0.0057832906349591096,0.03814617376855973,-0.12210132131476037,2
2025-03-31,-0.0020246377238173187,0.033098718936440674,-0.12891642414923954,2
2025-04-01,-0.0020541136890679657,0.03308121689363592,-0.11075270034373119,2
2025-04-02,-0.002496257607463609,0.032952266146605604,-0.10417632239320596,2
2025-04-03,-0.0035308231139447644,0.03502548166458439,-0.1679997283010083,2
2025-04-04,-0.00816827415375826,0.0378845769505952,-0.2224920956366292,2
2025-04-07,-0.0038693246752889766,0.03768557151383967,-0.18902625673986284,2
2025-04-08,-0.0053874434491686055,0.03742661964924917,-0.19720749882277955,2
2025-04-09,0.000760126911358161,0.05530104314841294,-0.044569395314426385,2
2025-04-10,-0.002127105934079826,0.05690299506843256,-0.09863293238020132,2
2025-04-11,-0.0031998726397962918,0.0560103886497181,-0.06833796006250281,2
2025-04-14,-0.002419604938828618,0.055907996940823886,-0.06872319725065223,2
2025-04-15,-3.16227082454601e-05,0.05549301563456235,-0.055482506816389665,2
2025-04-16,-0.004372762254353335,0.057363913726639376,-0.11828611229624175,2
2025-04-17,-0.006238021961596179,0.057526365166803754,-0.14021591920000442,2
2025-04-21,-0.00814427526586281,0.05818098028476935,-0.1745743364512471,2
2025-04-22,-0.008698756752685588,0.057834878329462366,-0.15324724285883107,2
2025-04-23,-0.0064708018779243036,0.05879739764141663,-0.1158675993149888,2
2025-04-24,-0.0017888870012562285,0.05825249243565349,-0.07966943929594261,2
2025-04-25,0.0013868530849159677,0.05890741550731243,-0.03671318164883375,2
2025-04-28,0.0011496481662587766,0.058989736589507236,-0.05213079255575659,2
2025-04-29,0.0018711350628167977,0.0589116901772088,-0.044636013064512814,2
2025-04-30,0.0010087034008647744,0.058815034424810654,-0.040388160975689424,2
2025-05-01,0.00212099336174667,0.05905361888592143,-0.011881901421190388,2
2025-05-02,0.0073189590176222005,0.05612680991359,0.018319623678550112,2
2025-05-05,0.010700797709671361,0.052943491265365426,0.015994292328924686,2
2025-05-06,0.00881234735572598,0.052692538633159154,0.016530720148641764,2
2025-05-07,0.011048649314416736,0.0526348210982173,0.04984230848247817,0
2025-05-08,0.0018196955443184558,0.03241687873523705,0.05525315487227722,1
2025-05-09,0.004469323548686349,0.02917693458141765,0.0494380767896192,1
2025-05-12,0.0056293707365956125,0.03071768270267838,0.1069458099554117,0
2025-05-13,0.008545602646192052,0.032663851614397936,0.16597993165320224,0
2025-05-14,0.00995456173967405,0.03348437864197004,0.21032310530399734,0
2025-05-15,0.013201977232067747,0.028182788793390732,0.2019912892072786,0
2025-05-16,0.014848901356048128,0.026517843377790666,0.20175031261367926,0
2025-05-19,0.017168055314380294,0.022758183895242375,0.19838978389773287,0
2025-05-20,0.01570759942143362,0.023464023174207847,0.1821419896763743,0
2025-05-21,0.012816199670800804,0.024046609316212275,0.15476273768886117,0
2025-05-22,0.011396023441860909,0.023422390051164733,0.16031235811328592,0
2025-05-23,0.008664678221990924,0.022713293622916034,0.14372083536557212,0
2025-05-27,0.011294933565280264,0.022193420004175946,0.1775583393925222,0
2025-05-28,0.010906969956402918,0.02241885550750014,0.1684588663570612,0
2025-05-29,0.012577342129707365,0.02273383609838438,0.20147375137255374,0
2025-05-30,0.009884052270955396,0.024355369317911418,0.16289283544945943,0
2025-06-02,0.009421892462313758,0.024122166111566614,0.17843241519622066,0
2025-06-03,0.011116416661012447,0.02417661723129989,0.20650319481404633,0
2025-06-04,0.011487259425009217,0.024013744297657055,0.20824934331926315,0
2025-06-05,0.009257188805878619,0.02417650737788617,0.18791439773672636,0
2025-06-06,0.009742671196490554,0.024134262003714838,0.19691493287319362,0
2025-06-09,0.010370456486856633,0.02386128155201611,0.19828549994021105,0
2025-06-10,0.008114879136250457,0.021490988692784704,0.20253075251021868,0
2025-06-11,0.004908779859471568,0.01849135469187817,0.18634456094077012,0
2025-06-12,0.0035865342661894673,0.016572726019064746,0.1974347462272643,0
2025-06-13,0.002730119542995707,0.017394962608106808,0.16633334425248347,0
2025-06-16,0.0034766908297821863,0.01777879856135048,0.18035960003889784,0
2025-06-17,0.0032169363514588656,0.017850763258450073,0.16623052426827356,0
2025-06-18,0.004127658882946511,0.01767032271861157,0.16818976839216848,0
2025-06-20,0.0045274087307595025,0.017198979698328978,0.14634588588107134,0
2025-06-23,0.004247887970539305,0.017188163250259996,0.1434563025301101,0
2025-06-24,0.006121186882911428,0.017410965035923435,0.16558195042174018,0
2025-06-25,0.0066848806383257905,0.01844685392167588,0.20783849461830872,0
2025-06-26,0.00716954341955659,0.01824740533466491,0.20503562223371663,0
2025-06-27,0.0064255630539281185,0.017446455504309948,0.21763279087997134,0
2025-06-30,0.007960073685428292,0.015378035081952375,0.20949467258750776,0
2025-07-01,0.00564327595485814,0.017362238261390384,0.16435271746817004,0
