Date,return,zscore,is_anomaly
2025-01-03,0.011395760301242674,0.6747586635369635,False
2025-01-06,0.010629413793729503,0.6259107074541146,False
2025-01-07,-0.012808248830128321,-0.868037399975809,False
2025-01-08,0.005184996642009443,0.2788762428658365,False
2025-01-10,-0.013213583356015857,-0.8938739672796358,False
2025-01-13,-0.004201025182229201,-0.3194013996471877,False
2025-01-14,-0.003643377309515805,-0.2838561749623478,False
2025-01-15,0.025597196170027647,1.5799772674331642,False
2025-01-16,-0.004058186351628801,-0.31029666066072614,False
2025-01-17,0.010481105416596748,0.6164573322225783,False
2025-01-21,-0.001235354439597991,-0.13036556171750402,False
2025-01-22,0.041306922688893355,2.581336343965431,False
2025-01-23,0.0011428263548833861,0.021222877542009615,False
2025-01-24,-0.005932169504596629,-0.42974686478995644,False
2025-01-27,-0.02139347380525536,-1.415271175343637,False
2025-01-28,0.029086854277586616,1.8024127640538206,False
2025-01-29,-0.010890010086932689,-0.7457662850618691,False
2025-01-30,-0.06180907026770888,-3.991415597879728,True
2025-01-31,0.00016868148564763707,-0.040870425323264445,False
2025-02-03,-0.009974453175673026,-0.6874074573591252,False
2025-02-04,0.0035286922269792687,0.17330117397465092,False
2025-02-05,0.0022310953122097743,0.09059060312389126,False
2025-02-06,0.006121463146774531,0.3385678761535862,False
2025-02-07,-0.014597644858585945,-0.9820959071340996,False
2025-02-10,0.006028120324117703,0.33261807921827297,False
2025-02-11,-0.0018922772000771193,-0.1722387011382598,False
2025-02-12,-0.005833073495336238,-0.4234303520103194,False
2025-02-13,0.0036670423823697007,0.18211979877206474,False
2025-02-14,-0.005139559013645489,-0.37922480711342804,False
2025-02-18,0.0029626440393724085,0.137220501931501,False
2025-02-19,0.012523124191825996,0.7466183526941652,False
2025-02-20,0.005290676653677329,0.28561242880545745,False
2025-02-21,-0.019032609065903983,-1.2647864847046568,False
2025-02-24,-0.010313269594400487,-0.7090040711361675,False
2025-02-25,-0.015099014017730283,-1.0140538509977068,False
2025-02-26,0.004599247027225584,0.2415397753827955,False
2025-02-27,-0.018012268326329628,-1.1997485949933726,False
2025-02-28,0.01136219035479269,0.6726188700443125,False
2025-03-03,-0.021411134937069587,-1.416396919615682,False
2025-03-04,0.0003088730760687497,-0.03193442498276894,False
2025-03-05,0.0319343726980823,1.9839174142163785,False
2025-03-06,-0.010298646124613065,-0.7080719515232355,False
2025-03-07,-0.00902021530087016,-0.6265830530668408,False
2025-03-10,-0.033434225800414774,-2.182764885953276,False
2025-03-11,0.0007629942463907025,-0.0029881314109966545,False
2025-03-12,0.007412191713445093,0.42084064926793147,False
2025-03-13,-0.011741172746800088,-0.8000205366581667,False
2025-03-14,0.025846893632518464,1.5958933191958722,False
2025-03-17,0.0003603001506342629,-0.028656394150479405,False
2025-03-18,-0.013326461969701775,-0.901069001784217,False
2025-03-19,0.011211926620843915,0.6630408577420271,False
2025-03-20,-0.002526913475780157,-0.2126912700743711,False
2025-03-21,0.011425892031657447,0.6766793005198047,False
2025-03-24,0.004651579309156828,0.24487550534884975,False
2025-03-25,0.005291621870590291,0.2856726782015211,False
2025-03-26,-0.013133914466157526,-0.8887957651937443,False
2025-03-27,0.001564152436454025,0.04807876809197419,False
2025-03-28,-0.030160297350906307,-1.9740802875997947,False
2025-03-31,-0.009002027323099404,-0.6254237269256351,False
2025-04-01,0.018114392684444258,1.103013319066657,False
2025-04-02,-0.0001306914500899259,-0.05995285849668196,False
2025-04-03,-0.02363022395558212,-1.557844635312839,False
2025-04-04,-0.03556586475610235,-2.3186384171445518,False
2025-04-07,-0.005502388142521575,-0.40235202329978575,False
2025-04-08,-0.009221500865753685,-0.6394132654278892,False
2025-04-09,0.10133685003898352,6.407724571882566,True
2025-04-10,-0.023406450960003933,-1.5435810439042974,False
2025-04-11,0.018618049206384546,1.1351170625082707,False
2025-04-14,-0.0016475979191296064,-0.15664251500975224,False
2025-04-15,-0.005363371950434126,-0.39349094442839044,False
2025-04-16,-0.03660599498751338,-2.3849377156554623,False
2025-04-17,-0.010306485683395428,-0.7085716555335696,False
2025-04-21,-0.023546708713903963,-1.552521261593839,False
2025-04-22,0.021441371323706937,1.3150794077954377,False
2025-04-23,0.02063681888653135,1.2637961544208842,False
2025-04-24,0.03448266536748945,2.146349012952811,False
2025-04-25,0.011748048639614872,0.6972139955735737,False
2025-04-28,-0.0017608499685202172,-0.16386135280791378,False
2025-04-29,0.007362745725530306,0.4176888955606269,False
2025-04-30,0.0030960706928484516,0.14572529610147666,False
2025-05-01,0.07625359238228668,4.808884025971878,True
2025-05-02,0.023225235422526413,1.42878530232567,False
2025-05-05,0.0020446601193089275,0.07870697342657515,False
2025-05-06,-0.006557093604503628,-0.4695803665911586,False
2025-05-07,9.23317229568621e-05,-0.04573706178378332,False
2025-05-08,0.011122679830935178,0.6573521474376713,False
2025-05-09,0.0012779564795983855,0.029836253257608768,False
2025-05-12,0.02400115527343516,1.4782434761796814,False
2025-05-13,-0.00026709275849456926,-0.0686472611686725,False
2025-05-14,0.00846058410505357,0.4876665889711975,False
2025-05-15,0.0022560766944148547,0.09218294999163197,False
2025-05-16,0.0025158653272325804,0.10874222650987916,False
2025-05-19,0.010126049267302095,0.5938255761988288,False
2025-05-20,-0.0015254082315717676,-0.1488539801458418,False
2025-05-21,-0.012222577672636903,-0.8307059334660065,False
2025-05-22,0.005060016987625149,0.2709098717676963,False
2025-05-23,-0.010288843859711516,-0.7074471419876939,False
2025-05-27,0.02334613806360042,1.4364917991173733,False
2025-05-28,-0.00722823215831403,-0.5123596397797608,False
