Date,return,label,is_anomaly
2025-01-03,0.08215567328200035,1,False
2025-01-06,0.0014861742226248698,1,False
2025-01-07,-0.040603340073111616,1,False
2025-01-08,0.0014707807875760093,1,False
2025-01-10,-0.0005064369418009695,1,False
2025-01-13,0.021710512074366584,1,False
2025-01-14,-0.017232432245921525,1,False
2025-01-15,0.08038151439752794,1,False
2025-01-16,-0.03362756026209668,1,False
2025-01-17,0.030641323404759113,1,False
2025-01-21,-0.0056975209279747085,1,False
2025-01-22,-0.02112863871036752,1,False
2025-01-23,-0.006576523247056931,1,False
2025-01-24,-0.014064741844588391,1,False
2025-01-27,-0.023193450212053546,1,False
2025-01-28,0.0023668700890153715,1,False
2025-01-29,-0.02258280870425211,1,False
2025-01-30,0.028732954254456988,1,False
2025-01-31,0.010792463618949588,1,False
2025-02-03,-0.05170542044525328,1,False
2025-02-04,0.02223206563315605,1,False
2025-02-05,-0.035797094243459227,1,False
2025-02-06,-0.010180622383618165,1,False
2025-02-07,-0.03392822173149601,1,False
2025-02-10,-0.030114441341470455,1,False
2025-02-11,-0.06338211812502892,1,False
2025-02-12,0.0243835913717656,1,False
2025-02-13,0.05773971683431944,1,False
2025-02-14,-0.0002809633725618932,1,False
2025-02-18,-0.004861766535893763,1,False
2025-02-19,0.018214714280444966,1,False
2025-02-20,-0.01708454543992588,1,False
2025-02-21,-0.046839747148427646,1,False
2025-02-24,-0.021521578674915554,1,False
2025-02-25,-0.0838955952220366,1,False
2025-02-26,-0.039630120487999076,1,False
2025-02-27,-0.030433204805490277,1,False
2025-02-28,0.03912040539724382,1,False
2025-03-03,-0.02843203214376444,1,False
2025-03-04,-0.04429996705409467,1,False
2025-03-05,0.025952056083059283,1,False
2025-03-06,-0.056073068986891905,1,False
2025-03-07,-0.0029607088371812473,1,False
2025-03-10,-0.1542620682219511,-1,True
2025-03-11,0.037947369642955975,1,False
2025-03-12,0.07593891216839133,1,False
2025-03-13,-0.02986820819658209,1,False
2025-03-14,0.038640532386444715,1,False
2025-03-17,-0.04788383640805216,1,False
2025-03-18,-0.05335909096824709,1,False
2025-03-19,0.04682438935722,1,False
2025-03-20,0.0016958954271570903,1,False
2025-03-21,0.052696235065183616,1,False
2025-03-24,0.11933580126800525,1,False
2025-03-25,0.03502280788451673,1,False
2025-03-26,-0.05580626179068948,1,False
2025-03-27,0.003932982922226103,1,False
2025-03-28,-0.03507493471452938,1,False
2025-03-31,-0.016657121359109794,1,False
2025-04-01,0.035885119854736525,1,False
2025-04-02,0.05326685079977622,1,False
2025-04-03,-0.05474611137253549,1,False
2025-04-04,-0.10419786826814681,1,False
2025-04-07,-0.025644236634809525,1,False
2025-04-08,-0.048994783337158454,1,False
2025-04-09,0.22689989839624514,-1,True
2025-04-10,-0.07274069589492616,1,False
2025-04-11,-0.0003565623615965352,1,False
2025-04-14,0.00015856900364230597,1,False
2025-04-15,0.006974418324816822,1,False
2025-04-16,-0.049427403598542696,1,False
2025-04-17,-0.0007452201709629014,1,False
2025-04-21,-0.05746362595919796,1,False
2025-04-22,0.04602198338770602,1,False
2025-04-23,0.05366224400956132,1,False
2025-04-24,0.0349764859229853,1,False
2025-04-25,0.09803091011549903,1,False
2025-04-28,0.0032637046356942534,1,False
2025-04-29,0.021512501019458785,1,False
2025-04-30,-0.03379788089732105,1,False
2025-05-01,-0.005812356915055328,1,False
2025-05-02,0.023848576584252656,1,False
2025-05-05,-0.024198258752220814,1,False
2025-05-06,-0.017519458684867262,1,False
2025-05-07,0.003159597232260225,1,False
2025-05-08,0.031134624811778533,1,False
2025-05-09,0.04718770485146129,1,False
2025-05-12,0.06745790403815088,1,False
2025-05-13,0.049280740626853614,1,False
2025-05-14,0.04073991993646375,1,False
