Date,return,label,is_anomaly
2025-01-03,-0.0020094283726911355,1,False
2025-01-06,0.00673891609730104,1,False
2025-01-07,-0.011387742814264357,1,False
2025-01-08,0.002022971007605179,1,False
2025-01-10,-0.024103678842953835,1,False
2025-01-13,-0.010344209890608025,1,False
2025-01-14,-0.004778167352123552,1,False
2025-01-15,0.019675869041915206,1,False
2025-01-16,-0.04040013508725093,1,False
2025-01-17,0.007535239806619742,1,False
2025-01-21,-0.03191585718285572,1,False
2025-01-22,0.005345040770410758,1,False
2025-01-23,-0.0007595078175686165,1,False
2025-01-24,-0.003934610613490874,1,False
2025-01-27,0.031780316097548944,1,False
2025-01-28,0.03654392712433174,1,False
2025-01-29,0.004616803685774551,1,False
2025-01-30,-0.007394754723483832,1,False
2025-01-31,-0.006692131500526055,1,False
2025-02-03,-0.0338559940143639,1,False
2025-02-04,0.021007914714474385,1,False
2025-02-05,-0.0014175581931342718,1,False
2025-02-06,0.0032262426829974267,1,False
2025-02-07,-0.023968731864698056,1,False
2025-02-10,0.001187343922486539,1,False
2025-02-11,0.021831831975231752,1,False
2025-02-12,0.018270085918334233,1,False
2025-02-13,0.01967323848251623,1,False
2025-02-14,0.012710708047756869,1,False
2025-02-18,-0.0005315020933958081,1,False
2025-02-19,0.0016361258388950528,1,False
2025-02-20,0.00392050052050541,1,False
2025-02-21,-0.0011390267898004902,1,False
2025-02-24,0.006312383382871323,1,False
2025-02-25,-0.0002428315584860341,1,False
2025-02-26,-0.02704011939380868,1,False
2025-02-27,-0.01273091938670523,1,False
2025-02-28,0.019131868844441513,1,False
2025-03-03,-0.015754202507164528,1,False
2025-03-04,-0.008822443665799096,1,False
2025-03-05,-0.000805297297409524,1,False
2025-03-06,-0.0017391268202556764,1,False
2025-03-07,0.015892551933860855,1,False
2025-03-10,-0.04847960193409895,1,False
2025-03-11,-0.029189374883390795,1,False
2025-03-12,-0.01747872660231309,1,False
2025-03-13,-0.03364369478238094,1,False
2025-03-14,0.01817060221144451,1,False
2025-03-17,0.002388837889784501,1,False
2025-03-18,-0.006121382059509739,1,False
2025-03-19,0.011989186652903827,1,False
2025-03-20,-0.005296311389961228,1,False
2025-03-21,0.019476821228993524,1,False
2025-03-24,0.011270364087025753,1,False
2025-03-25,0.013681927390927884,1,False
2025-03-26,-0.009921780290122029,1,False
2025-03-27,0.010472734480756252,1,False
2025-03-28,-0.026580409994609644,1,False
2025-03-31,0.019412605542204586,1,False
2025-04-01,0.004771951175297495,1,False
2025-04-02,0.00313635061160511,1,False
2025-04-03,-0.09245617749533419,-1,True
2025-04-04,-0.07288733474248377,-1,True
2025-04-07,-0.03673428915114274,1,False
2025-04-08,-0.04981818543870231,1,False
2025-04-09,0.15328860338175065,-1,True
2025-04-10,-0.04239385731920353,1,False
2025-04-11,0.040594485559310556,1,False
2025-04-14,0.022054050996684893,1,False
2025-04-15,-0.0018764476411762265,1,False
2025-04-16,-0.0389333647218012,1,False
2025-04-17,0.013949632775603904,1,False
2025-04-21,-0.01939280333250215,1,False
2025-04-22,0.0340650774735225,1,False
2025-04-23,0.024331588268553084,1,False
2025-04-24,0.018426216744764412,1,False
2025-04-25,0.004367192781353557,1,False
2025-04-28,0.004109335285442661,1,False
2025-04-29,0.005091876364272663,1,False
2025-04-30,0.0061076408542186655,1,False
2025-05-01,0.0038588679064202047,1,False
2025-05-02,-0.03736178537402268,1,False
2025-05-05,-0.03145842645609831,1,False
2025-05-06,-0.0019106952436467317,1,False
2025-05-07,-0.011384769833375552,1,False
2025-05-08,0.0063184946335548275,1,False
2025-05-09,0.005266076204561099,1,False
2025-05-12,0.0631462266329994,1,False
2025-05-13,0.010152256278603833,1,False
2025-05-14,-0.0028178284904083473,1,False
2025-05-15,-0.004144455183460405,1,False
2025-05-16,-0.0008985807760552023,1,False
2025-05-19,-0.01173910308788051,1,False
2025-05-20,-0.009196227967492532,1,False
2025-05-21,-0.023059151208633444,1,False
2025-05-22,-0.003612269777481525,1,False
2025-05-23,-0.03024421041472658,1,False
2025-05-27,0.0252982519087801,1,False
2025-05-28,0.0010488493588676207,1,False
2025-05-29,-0.002345059699954133,1,False
2025-05-30,0.004501165153201203,1,False
2025-06-02,0.0042319709002895944,1,False
2025-06-03,0.007783811173800448,1,False
2025-06-04,-0.00221371113762725,1,False
2025-06-05,-0.010797728543074703,1,False
2025-06-06,0.016398234140678536,1,False
2025-06-09,-0.01211253159956327,1,False
2025-06-10,0.006056021902935305,1,False
2025-06-11,-0.01919373183369144,1,False
2025-06-12,0.0021128663073402,1,False
2025-06-13,-0.013805194198080128,1,False
2025-06-16,0.010028022576847206,1,False
2025-06-17,-0.014010737856372857,1,False
2025-06-18,0.004804711390223426,1,False
2025-06-20,0.022484522595249246,1,False
2025-06-23,0.002487626530422782,1,False
2025-06-24,-0.0059553368706062315,1,False
2025-06-25,0.006290573788700682,1,False
2025-06-26,-0.0027784006959959973,1,False
2025-06-27,0.0003980202448676806,1,False
2025-06-30,0.020340156705265455,1,False
2025-07-01,0.01291615425542747,1,False
2025-07-02,0.022230762139012095,1,False
2025-07-03,0.005225067743489742,1,False
2025-07-07,-0.016857955249283796,1,False
2025-07-08,0.00028578971805215403,1,False
2025-07-09,0.00538068961510163,1,False
2025-07-10,0.006014977043711456,1,False
2025-07-11,-0.005884853456365136,1,False
2025-07-14,-0.01202881464197092,1,False
2025-07-15,0.0023488288655426626,1,False
2025-07-16,0.00502133715468478,1,False
2025-07-17,-0.0006662490332220994,1,False
2025-07-18,0.00552328064027563,1,False
